Name,Age,Sex
"Newsom, Miss. Helen Monypeny",19.0,female
"Futrelle, Mr. Jacques Heath",37.0,male
"Osen, Mr. Olaf Elon",16.0,male
"Giglio, Mr. Victor",24.0,male
"Boulos, Mrs. Joseph (Sultana)",,female
"Nysten, Miss. Anna Sofia",22.0,female
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,female
"Burke, Mr. Jeremiah",19.0,male
"Andrew, Mr. Edgardo Samuel",18.0,male
"Nicholls, Mr. Joseph Charles",19.0,male
"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,male
"Ford, Miss. Robina Maggie ""Ruby""",9.0,female
"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,male
"Byles, Rev. Thomas Roussel Davids",42.0,male
"Bateman, Rev. Robert James",51.0,male
"Pears, Mrs. Thomas (Edith Wearne)",22.0,female
"Meo, Mr. Alfonzo",55.5,male
"van Billiard, Mr. Austin Blyler",40.5,male
"Olsen, Mr. Ole Martin",,male
"Williams, Mr. Charles Duane",51.0,male
"Gilnagh, Miss. Katherine ""Katie""",16.0,female
"Corn, Mr. Harry",30.0,male
"Smiljanic, Mr. Mile",,male
"Sage, Master. Thomas Henry",,male
"Cribb, Mr. John Hatfield",44.0,male
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,female
"Bengtsson, Mr. John Viktor",26.0,male
"Calic, Mr. Jovo",17.0,male
"Panula, Master. Eino Viljami",1.0,male
"Goldsmith, Master. Frank John William ""Frankie""",9.0,male
"Chibnall, Mrs. (Edith Martha Bowerman)",,female
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,female
"Baumann, Mr. John D",,male
"Ling, Mr. Lee",28.0,male
"Van der hoef, Mr. Wyckoff",61.0,male
"Rice, Master. Arthur",4.0,male
"Johnson, Miss. Eleanor Ileen",1.0,female
"Sivola, Mr. Antti Wilhelm",21.0,male
"Smith, Mr. James Clinch",56.0,male
"Klasen, Mr. Klas Albin",18.0,male
"Lefebre, Master. Henry Forbes",,male
"Isham, Miss. Ann Elizabeth",50.0,female
"Hale, Mr. Reginald",30.0,male
"Leonard, Mr. Lionel",36.0,male
"Sage, Miss. Constance Gladys",,female
"Pernot, Mr. Rene",,male
"Asplund, Master. Clarence Gustaf Hugo",9.0,male
"Becker, Master. Richard F",1.0,male
"Kink-Heilmann, Miss. Luise Gretchen",4.0,female
"Rood, Mr. Hugh Roscoe",,male
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",,female
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0,male
"Bourke, Mr. John",40.0,male
"Turcin, Mr. Stjepan",36.0,male
"Pinsky, Mrs. (Rosa)",32.0,female
"Carbines, Mr. William",19.0,male
"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,female
"Navratil, Master. Michel M",3.0,male
"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,female
"Lurette, Miss. Elise",58.0,female
"Mernagh, Mr. Robert",,male
"Olsen, Mr. Karl Siegwart Andreas",42.0,male
"Madigan, Miss. Margaret ""Maggie""",,female
"Yrois, Miss. Henriette (""Mrs Harbeck"")",24.0,female
"Vande Walle, Mr. Nestor Cyriel",28.0,male
"Sage, Mr. Frederick",,male
"Johanson, Mr. Jakob Alfred",34.0,male
"Youseff, Mr. Gerious",45.5,male
"Cohen, Mr. Gurshon ""Gus""",18.0,male
"Strom, Miss. Telma Matilda",2.0,female
"Backstrom, Mr. Karl Alfred",32.0,male
"Albimona, Mr. Nassef Cassem",26.0,male
"Carr, Miss. Helen ""Ellen""",16.0,female
"Blank, Mr. Henry",40.0,male
"Ali, Mr. Ahmed",24.0,male
"Cameron, Miss. Clear Annie",35.0,female
"Perkin, Mr. John Henry",22.0,male
"Givard, Mr. Hans Kristensen",30.0,male
"Kiernan, Mr. Philip",,
"Newell, Miss. Madeleine",31.0,female
"Honkanen, Miss. Eliina",27.0,female
"Jacobsohn, Mr. Sidney Samuel",42.0,male
"Bazzani, Miss. Albina",32.0,female
"Harris, Mr. Walter",30.0,male
"Sunderland, Mr. Victor Francis",16.0,male
"Bracken, Mr. James H",27.0,male
"Green, Mr. George Henry",51.0,male
"Nenkoff, Mr. Christo",,male
"Hoyt, Mr. Frederick Maxfield",38.0,male
"Berglund, Mr. Karl Ivar Sven",22.0,male
"Mellors, Mr. William John",19.0,male
"Lovell, Mr. John Hall (""Henry"")",20.5,male
"Fahlstrom, Mr. Arne Jonas",18.0,male
"Lefebre, Miss. Mathilde",,female
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.0,female
"Larsson, Mr. Bengt Edvin",29.0,male
"Sjostedt, Mr. Ernst Adolf",59.0,male
"Asplund, Miss. Lillian Gertrud",5.0,female
"Leyson, Mr. Robert William Norman",24.0,male
"Harknett, Miss. Alice Phoebe",,female
"Hold, Mr. Stephen",44.0,male
"Collyer, Miss. Marjorie ""Lottie""",8.0,female
"Pengelly, Mr. Frederick William",19.0,male
"Hunt, Mr. George Henry",33.0,male
"Zabour, Miss. Thamine",,female
"Murphy, Miss. Katherine ""Kate""",,female
"Coleridge, Mr. Reginald Charles",29.0,male
"Maenpaa, Mr. Matti Alexanteri",22.0,male
"Attalah, Mr. Sleiman",30.0,male
"Minahan, Dr. William Edward",44.0,male
"Lindahl, Miss. Agda Thorilda Viktoria",25.0,female
"Hamalainen, Mrs. William (Anna)",24.0,female
"Beckwith, Mr. Richard Leonard",37.0,male
"Carter, Rev. Ernest Courtenay",54.0,male
"Reed, Mr. James George",,male
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",29.0,female
"Stead, Mr. William Thomas",62.0,male
"Lobb, Mr. William Arthur",30.0,male
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",41.0,female
"Touma, Mrs. Darwis (Hanne Youssef Razi)",29.0,female
"Thorne, Mrs. Gertrude Maybelle",,female
"Cherry, Miss. Gladys",30.0,female
"Ward, Miss. Anna",35.0,female
"Parrish, Mrs. (Lutie Davis)",50.0,female
"Smith, Mr. Thomas",,male
"Asplund, Master. Edvin Rojj Felix",3.0,male
"Taussig, Mr. Emil",52.0,male
"Harrison, Mr. William",40.0,male
"Henry, Miss. Delia",,female
"Reeves, Mr. David",36.0,male
"Panula, Mr. Ernesti Arvid",16.0,male
"Persson, Mr. Ernst Ulrik",25.0,male
"Graham, Mrs. William Thompson (Edith Junkins)",58.0,female
"Bissette, Miss. Amelia",35.0,female
"Cairns, Mr. Alexander",,male
"Tornquist, Mr. William Henry",25.0,male
"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.0,female
"Natsch, Mr. Charles H",37.0,male
"Healy, Miss. Hanora ""Nora""",,female
"Andrews, Miss. Kornelia Theodosia",63.0,female
"Lindblom, Miss. Augusta Charlotta",45.0,female
"Parkes, Mr. Francis ""Frank""",,male
"Rice, Master. Eric",7.0,male
"Abbott, Mrs. Stanton (Rosa Hunt)",35.0,female
"Duane, Mr. Frank",65.0,male
"Olsson, Mr. Nils Johan Goransson",28.0,male
"de Pelsmaeker, Mr. Alfons",16.0,male
"Dorking, Mr. Edward Arthur",19.0,male
"Smith, Mr. Richard William",,male
"Stankovic, Mr. Ivan",33.0,male
"de Mulder, Mr. Theodore",30.0,male
"Naidenoff, Mr. Penko",22.0,male
"Hosono, Mr. Masabumi",42.0,male
"Connolly, Miss. Kate",22.0,female
"Barber, Miss. Ellen ""Nellie""",26.0,female
"Bishop, Mrs. Dickinson H (Helen Walton)",19.0,female
"Levy, Mr. Rene Jacques",36.0,male
"Haas, Miss. Aloisia",24.0,female
"Mineff, Mr. Ivan",24.0,male
"Lewy, Mr. Ervin G",,male
"Hanna, Mr. Mansour",23.5,male
"Allison, Miss. Helen Loraine",2.0,female
"Saalfeld, Mr. Adolphe",,male
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.0,female
"Kelly, Miss. Anna Katherine ""Annie Kate""",,female
"McCoy, Mr. Bernard",,male
"Johnson, Mr. William Cahoone Jr",19.0,male
"Keane, Miss. Nora A",,female
"Williams, Mr. Howard Hugh ""Harry""",,male
"Allison, Master. Hudson Trevor",0.92,male
"Fleming, Miss. Margaret",,female
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.0,female
"Abelson, Mr. Samuel",30.0,male
"Francatelli, Miss. Laura Mabel",30.0,female
"Hays, Miss. Margaret Bechstein",24.0,
"Ryerson, Miss. Emily Borie",18.0,female
"Lahtinen, Mrs. William (Anna Sylfven)",26.0,female
"Hendekovic, Mr. Ignjac",28.0,male
"Hart, Mr. Benjamin",43.0,male
"Nilsson, Miss. Helmina Josefina",26.0,female
"Kantor, Mrs. Sinai (Miriam Sternin)",24.0,female
"Moraweck, Dr. Ernest",54.0,male
"Wick, Miss. Mary Natalie",31.0,female
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.0,female
"Dennis, Mr. Samuel",22.0,male
"Danoff, Mr. Yoto",27.0,male
"Slayter, Miss. Hilda Mary",30.0,female
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,female
"Sage, Mr. George John Jr",,male
"Young, Miss. Marie Grice",36.0,female
"Nysveen, Mr. Johan Hansen",61.0,male
"Ball, Mrs. (Ada E Hall)",36.0,female
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.0,female
"Hippach, Miss. Jean Gertrude",16.0,female
"McCoy, Miss. Agnes",,female
"Partner, Mr. Austen",45.5,male
"Graham, Mr. George Edward",38.0,male
"Vander Planke, Mr. Leo Edmondus",16.0,male
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",,female
"Denkoff, Mr. Mitto",,male
"Pears, Mr. Thomas Clinton",29.0,male
"Burns, Miss. Elizabeth Margaret",41.0,female
"Dahl, Mr. Karl Edwart",45.0,male
"Blackwell, Mr. Stephen Weart",45.0,male
"Navratil, Master. Edmond Roger",2.0,male
"Fortune, Miss. Alice Elizabeth",24.0,female
"Collander, Mr. Erik Gustaf",28.0,male
"Sedgwick, Mr. Charles Frederick Waddington",25.0,male
"Fox, Mr. Stanley Hubert",36.0,male
"Brown, Miss. Amelia ""Mildred""",24.0,female
"Smith, Miss. Marion Elsie",40.0,female
"Davison, Mrs. Thomas Henry (Mary E Finck)",,female
"Coutts, Master. William Loch ""William""",3.0,male
"Dimic, Mr. Jovan",42.0,male
"Odahl, Mr. Nils Martin",23.0,male
"Williams-Lambert, Mr. Fletcher Fellows",,male
"Elias, Mr. Tannous",15.0,male
"Arnold-Franchi, Mr. Josef",25.0,male
"Yousif, Mr. Wazli",,male
"Vanden Steen, Mr. Leo Peter",28.0,male
"Bowerman, Miss. Elsie Edith",22.0,female
"Funk, Miss. Annie Clemmer",38.0,female
"McGovern, Miss. Mary",,female
"Mockler, Miss. Helen Mary ""Ellie""",,female
"Skoog, Mr. Wilhelm",40.0,male
"del Carlo, Mr. Sebastiano",29.0,male
"Barbara, Mrs. (Catherine David)",45.0,female
"Asim, Mr. Adola",35.0,male
"O'Brien, Mr. Thomas",,male
"Adahl, Mr. Mauritz Nils Martin",30.0,male
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.0,female
"Moussa, Mrs. (Mantoura Boulos)",,female
"Jermyn, Miss. Annie",,female
"Aubart, Mme. Leontine Pauline",24.0,female
"Harder, Mr. George Achilles",25.0,male
"Wiklund, Mr. Jakob Alfred",18.0,male
"Beavan, Mr. William Thomas",19.0,male
"Ringhini, Mr. Sante",22.0,male
"Palsson, Miss. Stina Viola",3.0,female
"Meyer, Mrs. Edgar Joseph (Leila Saks)",,female
"Landergren, Miss. Aurora Adelia",22.0,female
"Widener, Mr. Harry Elkins",27.0,male
"Betros, Mr. Tannous",20.0,male
"Gustafsson, Mr. Karl Gideon",19.0,male
"Bidois, Miss. Rosalie",42.0,female
"Nakid, Miss. Maria (""Mary"")",1.0,female
"Tikkanen, Mr. Juho",32.0,male
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,female
"Plotcharsky, Mr. Vasil",,
"Davies, Mr. Charles Henry",18.0,male
"Goodwin, Master. Sidney Leonard",1.0,male
"Buss, Miss. Kate",36.0,female
"Sadlier, Mr. Matthew",,male
"Lehmann, Miss. Bertha",17.0,female
"Carter, Mr. William Ernest",36.0,male
"Jansson, Mr. Carl Olof",21.0,male
"Gustafsson, Mr. Johan Birger",28.0,male
"Newell, Miss. Marjorie",23.0,female
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",24.0,female
"Johansson, Mr. Erik",22.0,male
"Olsson, Miss. Elina",31.0,female
"McKane, Mr. Peter David",46.0,male
"Pain, Dr. Alfred",23.0,male
"Trout, Mrs. William H (Jessie L)",28.0,female
"Niskanen, Mr. Juha",39.0,male
"Adams, Mr. John",26.0,male
"Jussila, Miss. Mari Aina",21.0,female
"Hakkarainen, Mr. Pekka Pietari",28.0,male
"Oreskovic, Miss. Marija",20.0,female
"Gale, Mr. Shadrach",34.0,male
"Widegren, Mr. Carl/Charles Peter",51.0,male
"Richards, Master. William Rowe",3.0,male
"Birkeland, Mr. Hans Martin Monsen",21.0,male
"Lefebre, Miss. Ida",,female
"Sdycoff, Mr. Todor",,male
"Hart, Mr. Henry",,male
"Minahan, Miss. Daisy E",33.0,female
"Cunningham, Mr. Alfred Fleming",,male
"Sundman, Mr. Johan Julian",44.0,male
"Meek, Mrs. Thomas (Annie Louise Rowley)",,female
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.0,female
"Silven, Miss. Lyyli Karoliina",18.0,female
"Matthews, Mr. William John",30.0,male
"Van Impe, Miss. Catharina",10.0,female
"Gheorgheff, Mr. Stanio",,male
"Charters, Mr. David",21.0,male
"Zimmerman, Mr. Leo",29.0,male
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",28.0,female
"Rosblom, Mr. Viktor Richard",18.0,male
"Wiseman, Mr. Phillippe",,male
"Clarke, Mrs. Charles V (Ada Maria Winfield)",28.0,female
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19.0,female
"Flynn, Mr. James",,male
"Pickard, Mr. Berk (Berk Trembisky)",32.0,male
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28.0,male
"Thorneycroft, Mrs. Percival (Florence Kate White)",,female
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42.0,female
"Kallio, Mr. Nikolai Erland",17.0,male
"Silvey, Mr. William Baird",50.0,male
"Carter, Miss. Lucile Polk",14.0,female
"Ford, Miss. Doolina Margaret ""Daisy""",21.0,female
"Richards, Mrs. Sidney (Emily Hocking)",24.0,female
"Fortune, Mr. Mark",64.0,male
"Kvillner, Mr. Johan Henrik Johannesson",31.0,male
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45.0,female
"Hampe, Mr. Leon",20.0,male
"Petterson, Mr. Johan Emil",25.0,male
"Reynaldo, Ms. Encarnacion",28.0,female
"Johannesen-Bratthammer, Mr. Bernt",,male
"Dodge, Master. Washington",4.0,male
"Mellinger, Miss. Madeleine Violet",13.0,female
"Seward, Mr. Frederic Kimber",34.0,male
"Baclini, Miss. Marie Catherine",5.0,female
"Peuchen, Major. Arthur Godfrey",52.0,male
"West, Mr. Edwy Arthur",36.0,male
"Hagland, Mr. Ingvald Olai Olsen",,male
"Foreman, Mr. Benjamin Laventall",30.0,male
"Goldenberg, Mr. Samuel L",49.0,male
"Peduzzi, Mr. Joseph",,male
"Jalsevac, Mr. Ivan",29.0,male
"Millet, Mr. Francis Davis",65.0,male
"Kenyon, Mrs. Frederick R (Marion)",,female
"Toomey, Miss. Ellen",50.0,female
"O'Connor, Mr. Maurice",,male
"Anderson, Mr. Harry",48.0,male
"Morley, Mr. William",34.0,male
"Gee, Mr. Arthur H",47.0,male
"Milling, Mr. Jacob Christian",48.0,male
"Maisner, Mr. Simon",,male
"Goncalves, Mr. Manuel Estanslas",38.0,male
"Campbell, Mr. William",,male
"Smart, Mr. John Montgomery",56.0,male
"Scanlan, Mr. James",,male
"Baclini, Miss. Helene Barbara",0.75,female
"Keefe, Mr. Arthur",,male
"Cacic, Mr. Luka",38.0,male
"West, Mrs. Edwy Arthur (Ada Mary Worth)",33.0,female
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",23.0,female
"Strandberg, Miss. Ida Sofia",22.0,female
"Clifford, Mr. George Quincy",,male
"Renouf, Mr. Peter Henry",34.0,male
"Braund, Mr. Lewis Richard",29.0,male
"Karlsson, Mr. Nils August",22.0,male
"Hirvonen, Miss. Hildur E",2.0,female
"Goodwin, Master. Harold Victor",9.0,male
"Frost, Mr. Anthony Wood ""Archie""",,male
"Rouse, Mr. Richard Henry",50.0,male
"Turkula, Mrs. (Hedwig)",63.0,female
"Bishop, Mr. Dickinson H",25.0,male
"Lefebre, Miss. Jeannie",,female
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35.0,female
"Kent, Mr. Edward Austin",58.0,male
"Somerton, Mr. Francis William",30.0,male
"Coutts, Master. Eden Leslie ""Neville""",9.0,male
"Hagland, Mr. Konrad Mathias Reiersen",,male
"Windelov, Mr. Einar",21.0,male
"Molson, Mr. Harry Markland",55.0,male
"Artagaveytia, Mr. Ramon",71.0,male
"Stanley, Mr. Edward Roland",21.0,male
"Yousseff, Mr. Gerious",,male
"Eustis, Miss. Elizabeth Mussey",54.0,female
"Shellard, Mr. Frederick William",,male
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25.0,female
"Svensson, Mr. Olof",24.0,male
"Calic, Mr. Petar",17.0,male
"Canavan, Miss. Mary",21.0,female
"O'Sullivan, Miss. Bridget Mary",,female
"Laitinen, Miss. Kristina Sofia",37.0,
"Maioni, Miss. Roberta",16.0,female
"Penasco y Castellana, Mr. Victor de Satode",18.0,male
"Quick, Mrs. Frederick Charles (Jane Richards)",33.0,female
"Bradley, Mr. George (""George Arthur Brayton"")",,male
"Olsen, Mr. Henry Margido",28.0,male
"Lang, Mr. Fang",26.0,male
"Daly, Mr. Eugene Patrick",29.0,male
"Webber, Mr. James",,male
"McGough, Mr. James Robert",36.0,male
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54.0,female
"Coleff, Mr. Satio",24.0,male
"Walker, Mr. William Anderson",47.0,male
"Lemore, Mrs. (Amelia Milley)",34.0,female
"Ryan, Mr. Patrick",,male
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36.0,female
"Pavlovic, Mr. Stefo",32.0,male
"Perreault, Miss. Anne",30.0,female
"Vovk, Mr. Janko",22.0,male
"Lahoud, Mr. Sarkis",,male
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44.0,female
"Kassem, Mr. Fared",,male
"Farrell, Mr. James",40.5,male
"Ridsdale, Miss. Lucy",50.0,female
"Farthing, Mr. John",,male
"Salonen, Mr. Johan Werner",39.0,male
"Hocking, Mr. Richard George",23.0,male
"Quick, Miss. Phyllis May",2.0,female
"Toufik, Mr. Nakli",,male
"Elias, Mr. Joseph Jr",17.0,male
"Peter, Mrs. Catherine (Catherine Rizk)",,female
"Cacic, Miss. Marija",30.0,female
"Hart, Miss. Eva Miriam",7.0,female
"Butt, Major. Archibald Willingham",45.0,male
"LeRoy, Miss. Bertha",30.0,female
"Risien, Mr. Samuel Beard",,male
"Frolicher, Miss. Hedwig Margaritha",22.0,female
"Crosby, Miss. Harriet R",36.0,female
"Andersson, Miss. Ingeborg Constanzia",9.0,female
"Andersson, Miss. Sigrid Elisabeth",11.0,female
"Beane, Mr. Edward",32.0,male
"Douglas, Mr. Walter Donald",50.0,male
"Nicholson, Mr. Arthur Ernest",64.0,male
"Beane, Mrs. Edward (Ethel Clarke)",19.0,female
"Padro y Manent, Mr. Julian",,male
"Goldsmith, Mr. Frank John",33.0,male
"Davies, Master. John Morgan Jr",8.0,male
"Thayer, Mr. John Borland Jr",17.0,male
"Sharp, Mr. Percival James R",27.0,male
"O'Brien, Mr. Timothy",,male
"Leeni, Mr. Fahim (""Philip Zenni"")",22.0,male
"Ohman, Miss. Velin",22.0,female
"Wright, Mr. George",62.0,male
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48.0,female
"Robbins, Mr. Victor",,male
"Taussig, Mrs. Emil (Tillie Mandelbaum)",39.0,female
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",36.0,female
"Morrow, Mr. Thomas Rowan",,male
"Sivic, Mr. Husein",40.0,male
"Norman, Mr. Robert Douglas",28.0,male
"Simmons, Mr. John",,male
"Meanwell, Miss. (Marion Ogden)",,female
"Davies, Mr. Alfred J",24.0,male
"Stoytcheff, Mr. Ilia",19.0,male
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",29.0,female
"Doharr, Mr. Tannous",,male
"Jonsson, Mr. Carl",32.0,male
"Harris, Mr. George",62.0,male
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53.0,female
"Flynn, Mr. John Irwin (""Irving"")",36.0,male
"Kelly, Miss. Mary",,female
"Rush, Mr. Alfred George John",16.0,male
"Patchett, Mr. George",19.0,male
"Garside, Miss. Ethel",34.0,female
"Silvey, Mrs. William Baird (Alice Munger)",39.0,female
